video_id,TP,FP,FN,precision,recall,F1,mean_latency,status
V1,42,0,111,1,0.27451,0.430769,0.00873,CACHED
V2,6,0,3,1,0.666667,0.8,0.1,CACHED
V3,2,9,40,0.181818,0.047619,0.075472,-0.016667,CACHED
V4,6,13,6,0.315789,0.5,0.387097,-0.055556,CACHED
V5,25,35,3,0.416667,0.892857,0.568182,0.118667,CACHED
V6,592,2237,93,0.209261,0.864234,0.336938,0.149212,CACHED
V7,3,14,2,0.176471,0.6,0.272727,0.222222,CACHED
V8,6,16,1,0.272727,0.857143,0.413793,0.144444,CACHED
V9,2,5,2,0.285714,0.5,0.363636,0.65,CACHED
V10,2,7,0,0.222222,1,0.363636,0.383333,CACHED
__micro__,686,2336,261,0.227002,0.724393,0.345679,,OK
__macro__,,,,0.408067,0.620303,0.401225,0.170438,OK
